observation_id,site_id,habitat_type,habitat_code,season,site_area_ha,restoration_age_yrs,distance_to_remnant_km,species_richness,total_abundance,shannon_index,simpson_index,evenness_J,coleoptera_count,hymenoptera_count,diptera_count,lepidoptera_count,hemiptera_count,other_orders_count,native_species,nonnative_species,prop_native,pollinator_abundance,predator_abundance,temp_celsius,humidity_pct,wind_speed_kmh,vegetation_height_cm
REST_01_Spring,REST_01,Restored_Prairie,1,Spring,5.2,14.0,1.9,47,192,3.146,0.874,0.604,30,42,69,7,2,42,35,12,0.761,32,34,28.9,77.2,11.7,28.7
REST_01_Early_Summer,REST_01,Restored_Prairie,1,Early_Summer,5.2,14.0,1.9,50,208,3.321,0.854,0.724,44,33,34,7,15,75,27,23,0.545,36,35,32.7,75.9,10.0,27.1
REST_01_Late_Summer,REST_01,Restored_Prairie,1,Late_Summer,5.2,14.0,1.9,41,203,2.981,0.721,0.712,22,33,77,42,25,4,26,15,0.643,43,29,18.9,75.8,3.5,31.6
REST_01_Fall,REST_01,Restored_Prairie,1,Fall,5.2,14.0,1.9,61,200,1.997,0.731,0.99,49,27,52,48,10,14,41,20,0.68,64,39,26.4,81.4,11.6,51.2
CTRL_01_Spring,CTRL_01,Control_Grassland,0,Spring,6.4,,3.2,56,184,3.193,0.88,0.574,14,42,47,17,22,42,35,21,0.628,56,20,35.2,42.4,6.2,43.3
CTRL_01_Early_Summer,CTRL_01,Control_Grassland,0,Early_Summer,6.4,,3.2,36,199,3.406,0.771,0.722,41,19,41,25,12,61,22,14,0.617,35,25,28.5,44.1,4.9,66.0
CTRL_01_Late_Summer,CTRL_01,Control_Grassland,0,Late_Summer,6.4,,3.2,56,205,2.551,0.836,0.699,45,19,33,1,80,27,42,14,0.765,56,31,23.7,82.6,5.4,38.0
CTRL_01_Fall,CTRL_01,Control_Grassland,0,Fall,6.4,,3.2,46,184,3.205,0.832,0.858,38,47,38,36,11,14,18,28,0.4,59,28,20.0,93.0,9.4,18.5
REST_02_Spring,REST_02,Restored_Prairie,1,Spring,4.0,16.0,8.9,45,180,3.089,0.825,0.777,37,59,19,17,26,22,35,10,0.784,56,35,20.7,70.7,11.4,5.0
REST_02_Early_Summer,REST_02,Restored_Prairie,1,Early_Summer,4.0,16.0,8.9,48,246,3.995,0.851,0.867,60,45,15,5,52,69,30,18,0.627,39,42,7.0,53.7,6.7,40.5
REST_02_Late_Summer,REST_02,Restored_Prairie,1,Late_Summer,4.0,16.0,8.9,39,186,2.055,0.836,0.723,63,37,10,9,62,5,24,15,0.629,55,20,28.6,67.7,4.0,25.8
REST_02_Fall,REST_02,Restored_Prairie,1,Fall,4.0,16.0,8.9,34,193,2.455,0.677,0.796,24,65,31,24,30,19,24,10,0.721,54,29,25.5,50.8,8.1,62.7
CTRL_02_Spring,CTRL_02,Control_Grassland,0,Spring,11.9,,2.2,32,203,3.417,0.942,0.704,54,35,55,9,13,37,20,12,0.636,46,17,25.9,60.3,2.8,47.0
CTRL_02_Early_Summer,CTRL_02,Control_Grassland,0,Early_Summer,11.9,,2.2,39,234,2.902,0.949,0.72,50,96,34,0,37,17,28,11,0.719,52,36,20.2,59.7,12.8,30.9
CTRL_02_Late_Summer,CTRL_02,Control_Grassland,0,Late_Summer,11.9,,2.2,43,181,3.336,0.806,0.961,56,15,47,28,18,17,29,14,0.695,46,25,31.7,71.5,4.2,47.6
CTRL_02_Fall,CTRL_02,Control_Grassland,0,Fall,11.9,,2.2,51,201,3.41,0.784,0.691,84,22,53,24,11,7,33,18,0.665,47,29,22.2,54.9,9.0,50.5
REST_03_Spring,REST_03,Restored_Prairie,1,Spring,4.0,16.0,4.2,45,196,3.469,0.772,0.601,21,70,34,8,17,46,37,8,0.844,37,19,20.8,73.0,15.2,38.9
REST_03_Early_Summer,REST_03,Restored_Prairie,1,Early_Summer,4.0,16.0,4.2,46,214,3.534,0.772,0.654,41,39,45,60,21,8,31,15,0.682,56,19,12.2,75.3,3.1,42.0
REST_03_Late_Summer,REST_03,Restored_Prairie,1,Late_Summer,4.0,16.0,4.2,33,219,2.749,0.857,0.727,27,82,9,10,53,38,22,11,0.691,38,20,28.4,82.5,2.8,61.2
REST_03_Fall,REST_03,Restored_Prairie,1,Fall,4.0,16.0,4.2,51,188,2.991,0.794,0.712,46,76,36,15,6,9,33,18,0.66,56,22,16.6,81.9,11.5,39.5
CTRL_03_Spring,CTRL_03,Control_Grassland,0,Spring,9.5,,1.9,38,186,2.133,0.785,0.804,49,36,34,3,45,19,26,12,0.685,50,22,26.7,69.0,5.2,46.2
