observation_id,strain,concentration_ugml,treatment,timepoint_hrs,biological_replicate,technical_replicate,plate,od600_planktonic,log10_cfu_ml,biofilm_od570,metabolic_rfu,pct_inhibition_od600,pct_inhibition_biofilm,pct_inhibition_metabolic
OBS_00001,PAO1,0,Vehicle,4,1,1,Plate_A,0.2305,9.28,0.2479,4242,27.6,16.0,22.3
OBS_00002,PAO1,0,Vehicle,4,1,2,Plate_A,0.1985,8.63,0.3246,6932,37.6,-10.0,-26.9
OBS_00003,PAO1,0,Vehicle,4,1,3,Plate_A,0.2449,8.82,0.171,3094,23.0,42.0,43.3
OBS_00004,PAO1,0,Vehicle,8,1,1,Plate_A,0.3726,9.65,0.2346,10056,25.9,41.8,-4.1
OBS_00005,PAO1,0,Vehicle,8,1,2,Plate_A,0.4739,9.27,0.4662,9270,5.7,-15.7,4.0
OBS_00006,PAO1,0,Vehicle,8,1,3,Plate_A,0.4306,9.17,0.3491,10229,14.3,13.3,-5.9
OBS_00007,PAO1,0,Vehicle,12,1,1,Plate_A,0.5874,9.26,0.4955,12092,8.8,-6.1,-5.1
OBS_00008,PAO1,0,Vehicle,12,1,2,Plate_A,0.5633,9.76,0.3091,12411,12.5,33.8,-7.9
OBS_00009,PAO1,0,Vehicle,12,1,3,Plate_A,0.5162,9.29,0.2764,13183,19.9,40.8,-14.6
OBS_00010,PAO1,0,Vehicle,24,1,1,Plate_A,0.7598,10.2,0.558,14297,4.4,6.6,-0.4
OBS_00011,PAO1,0,Vehicle,24,1,2,Plate_A,0.749,9.44,0.5483,15343,5.8,8.2,-7.8
OBS_00012,PAO1,0,Vehicle,24,1,3,Plate_A,0.6548,10.06,0.5361,14016,17.6,10.2,1.5
OBS_00013,PAO1,1,AMP-247,4,1,1,Plate_A,0.1874,9.06,0.3035,4902,41.1,-2.9,10.2
OBS_00014,PAO1,1,AMP-247,4,1,2,Plate_A,0.1747,8.4,0.332,5859,45.1,-12.5,-7.3
OBS_00015,PAO1,1,AMP-247,4,1,3,Plate_A,0.2378,9.11,0.02,6711,25.3,93.2,-22.9
OBS_00016,PAO1,1,AMP-247,8,1,1,Plate_A,0.4125,9.24,0.3851,9315,17.9,4.4,3.6
OBS_00017,PAO1,1,AMP-247,8,1,2,Plate_A,0.3933,9.59,0.2788,11054,21.7,30.8,-14.4
OBS_00018,PAO1,1,AMP-247,8,1,3,Plate_A,0.4111,8.92,0.2872,9895,18.2,28.7,-2.4
OBS_00019,PAO1,1,AMP-247,12,1,1,Plate_A,0.6093,9.46,0.4174,11740,5.4,10.6,-2.1
OBS_00020,PAO1,1,AMP-247,12,1,2,Plate_A,0.5442,9.61,0.2993,11241,15.5,35.9,2.3
OBS_00021,PAO1,1,AMP-247,12,1,3,Plate_A,0.5879,10.05,0.4599,13443,8.7,1.5,-16.9
OBS_00022,PAO1,1,AMP-247,24,1,1,Plate_A,0.6693,9.41,0.4897,11349,15.8,18.0,20.3
OBS_00023,PAO1,1,AMP-247,24,1,2,Plate_A,0.6573,10.06,0.4538,14520,17.3,24.0,-2.0
OBS_00024,PAO1,1,AMP-247,24,1,3,Plate_A,0.7029,9.7,0.4986,11952,11.6,16.5,16.0
OBS_00025,PAO1,2,AMP-247,4,1,1,Plate_A,0.157,8.73,0.0905,5507,50.7,69.3,-0.9
OBS_00026,PAO1,2,AMP-247,4,1,2,Plate_A,0.2057,9.23,0.3364,7492,35.4,-14.0,-37.2
OBS_00027,PAO1,2,AMP-247,4,1,3,Plate_A,0.2368,8.69,0.2285,6615,25.6,22.6,-21.1
OBS_00028,PAO1,2,AMP-247,8,1,1,Plate_A,0.3967,9.4,0.3475,10265,21.1,13.7,-6.3
OBS_00029,PAO1,2,AMP-247,8,1,2,Plate_A,0.4396,8.72,0.4812,10331,12.5,-19.5,-6.9
OBS_00030,PAO1,2,AMP-247,8,1,3,Plate_A,0.3573,8.99,0.4161,11695,28.9,-3.3,-21.1
OBS_00031,PAO1,2,AMP-247,12,1,1,Plate_A,0.452,9.29,0.3898,12038,29.8,16.5,-4.7
OBS_00032,PAO1,2,AMP-247,12,1,2,Plate_A,0.5796,10.15,0.5381,11747,10.0,-15.2,-2.1
OBS_00033,PAO1,2,AMP-247,12,1,3,Plate_A,0.4957,9.64,0.437,10301,23.0,6.4,10.4
OBS_00034,PAO1,2,AMP-247,24,1,1,Plate_A,0.6628,10.56,0.5116,11554,16.6,14.3,18.8
OBS_00035,PAO1,2,AMP-247,24,1,2,Plate_A,0.5928,9.87,0.437,14217,25.4,26.8,0.1
OBS_00036,PAO1,2,AMP-247,24,1,3,Plate_A,0.6744,9.78,0.6305,12495,15.2,-5.6,12.2
OBS_00037,PAO1,4,AMP-247,4,1,1,Plate_A,0.2136,9.15,0.1669,2088,32.9,43.4,61.8
OBS_00038,PAO1,4,AMP-247,4,1,2,Plate_A,0.2108,10.01,0.2076,3925,33.8,29.6,28.1
OBS_00039,PAO1,4,AMP-247,4,1,3,Plate_A,0.279,8.93,0.3024,5883,12.3,-2.5,-7.7
OBS_00040,PAO1,4,AMP-247,8,1,1,Plate_A,0.3994,9.24,0.276,8475,20.5,31.5,12.3
OBS_00041,PAO1,4,AMP-247,8,1,2,Plate_A,0.4694,9.28,0.3491,11792,6.6,13.3,-22.1
OBS_00042,PAO1,4,AMP-247,8,1,3,Plate_A,0.4618,9.17,0.3077,9651,8.1,23.6,0.1
OBS_00043,PAO1,4,AMP-247,12,1,1,Plate_A,0.4847,9.52,0.5234,11832,24.7,-12.1,-2.9
OBS_00044,PAO1,4,AMP-247,12,1,2,Plate_A,0.5026,10.07,0.4217,12044,22.0,9.7,-4.7
OBS_00045,PAO1,4,AMP-247,12,1,3,Plate_A,0.5352,9.92,0.5583,11168,16.9,-19.5,2.9
OBS_00046,PAO1,4,AMP-247,24,1,1,Plate_A,0.6921,9.29,0.5303,13963,13.0,11.2,1.9
OBS_00047,PAO1,4,AMP-247,24,1,2,Plate_A,0.6894,10.18,0.5815,14068,13.3,2.6,1.2
OBS_00048,PAO1,4,AMP-247,24,1,3,Plate_A,0.6811,9.79,0.5091,14397,14.3,14.8,-1.1
OBS_00049,PAO1,8,AMP-247,4,1,1,Plate_A,0.1285,9.09,0.1682,4659,59.6,43.0,14.7
OBS_00050,PAO1,8,AMP-247,4,1,2,Plate_A,0.2555,9.12,0.2138,2846,19.7,27.5,47.9
OBS_00051,PAO1,8,AMP-247,4,1,3,Plate_A,0.191,8.7,0.2997,3938,40.0,-1.6,27.9
OBS_00052,PAO1,8,AMP-247,8,1,1,Plate_A,0.4341,9.27,0.5021,8348,13.6,-24.6,13.6
OBS_00053,PAO1,8,AMP-247,8,1,2,Plate_A,0.3783,9.05,0.4309,7491,24.7,-7.0,22.5
OBS_00054,PAO1,8,AMP-247,8,1,3,Plate_A,0.4932,9.29,0.5085,9562,1.9,-26.2,1.0
OBS_00055,PAO1,8,AMP-247,12,1,1,Plate_A,0.5243,9.76,0.4562,11487,18.6,2.3,0.1
OBS_00056,PAO1,8,AMP-247,12,1,2,Plate_A,0.5714,9.81,0.3773,9549,11.3,19.2,17.0
